,School Name,School Size,Town Name,Postal Code,Applied EQAO Grades,Academic EQAO Grades,,,0.45542153,0.804139715
249,Emery CI,632,North York,M9M 2V9,0.13,0.41,,,,
250,SPES NE,N/D,Scarborough,M1R 2L2,,,,,,
251,Etobicoke CI,"1,034",Toronto,M9A 3N5,0.45,0.92,,,,
252,Etobicoke School of the Arts,925,Toronto,M8Y 2T1,0.61,0.89,,,,
253,Forest Hill CI,982,Toronto,M5N 1B9,0.36,0.89,,,,
254,Frank Oke SS,103,Toronto,M6N 2H8,,,,,,
255,George Harvey CI,535,Toronto,M6M 3W5,0.23,0.37,,,,
256,George S Henry Academy,412,North York,M3A 3A6,0.14,0.55,,,,
257,Georges Vanier SS,815,North York,M2J 3B6,0.39,0.78,,,,
258,SPES NW,N/D,North York,M6L 1C7,,,,,,
259,Harbord CI,"1,061",Toronto,M6G 1G5,0.3,0.76,,,,
260,Heydon Park SS,158,Toronto,M5T 1K1,0.15,0.83,,,,
261,Highland JHS,N/D,North York,M2H 3B5,,,,,,
262,Humberside CI,"1,189",Toronto,M6P 2V3,0.25,0.88,,,,
263,Inglenook Community HS,81,Toronto,M5A 3E1,,,,,,
264,Jarvis CI,695,Toronto,M4Y 2G8,0.1,0.51,,,,
265,Kipling CI,451,Etobicoke,M9R 1H4,0.14,0.39,,,,
266,L'Amoreaux CI,541,Toronto,M1W 2K1,0.18,0.82,,,,
267,Lakeshore CI,634,Etobicoke,M8V 3L1,0.29,0.66,,,,
268,Lawrence Park CI,"1,164",Toronto,M4R 1S1,0.32,0.86,,,,
269,Leaside HS,"1,001",Toronto,M4G 3N8,0.17,0.89,,,,
270,Lester B Pearson CI,"1,383",Scarborough,M1B 2L2,0.2,0.73,,,,
271,Drewry SS,138,North York,M2M 1C8,,,,,,
272,Etobicoke Year-Round Alternative Centre,38,Toronto,M9B 3W7,,,,,,
273,Malvern CI,"1,141",Toronto,M4E 3E4,0.4,0.88,,,,
274,Maplewood HS,163,West Hill,M1E 1W7,,,,,,
275,Martingrove CI,"1,181",Etobicoke,M9B 3G7,0.24,0.8,,,,
276,Monarch Park Collegiate,830,Toronto,M4J 1G6,0.13,0.72,,,,
277,Native Learning Centre,27,Toronto,M4Y 1B7,,,,,,
278,Nelson A Boylen CI,N/D,North York,M6L 2E5,,,,,,
279,Newtonbrook SS,899,North York,M2M 1V6,0.26,0.64,,,,
280,West End Alternative S,79,Toronto,M6G 1L6,,,,,,
281,North Albion CI,850,Etobicoke,M9V 3B2,0.14,0.67,,,,
282,North Toronto CI,"1,266",Toronto,M4P 1T7,0.42,0.92,,,,
283,Northern SS,"1,790",Toronto,M4P 2L5,0.42,0.87,,,,
284,Northview Heights SS,"1,693",North York,M2R 1N6,0.32,0.9,,,,
285,Oasis Alternative SS,106,Toronto,M5V 2M1,0.66,0.59,,,,
286,Oakwood CI,456,Toronto,M6E 1A3,0.15,0.34,,,,
287,North West Year Round Alternative School,62,North York,M2R 2N1,,,,,,
288,Marc Garneau CI,"1,721",Don Mills,M3C 1B3,0.38,0.84,,,,
289,Parkdale CI,504,Toronto,M6K 2Y3,0.17,0.75,,,,
290,Pleasant View JHS,,North York,M2J 3Y8,0.69,1,,,,
291,SEED Alternative S,85,Toronto,M4M 1R4,,,,,,
292,R H King Academy,"1,243",Scarborough,M1M 1V3,0.41,0.9,,,,
293,Dr Norman Bethune CI,"1,080",Toronto,M1W 3G1,0.4,0.91,,,,
